Codigo,Pais,T_Ini,T_Fin,Dif_T,Freq_B,Freq_A,T_Max,Ener,Max_Ent,Max_Freq,Max_poder,Min_Entropia,Frecuenca_pico
CR127,Costa Rica,10.336,11.218,0.881,2041.7,11433.3,10.884,115.4,6.071,8699.4,95.7,2.306,8699.4
CR128,Costa Rica,11.244,11.752,0.507,816.7,12658.3,11.447,109.1,5.33,3789.8,95.6,1.695,3789.8
CR129,Costa Rica,4.273,4.914,0.641,2450,12045.8,4.58,111.3,5.769,7752,94.1,1.962,7752
CR130,Costa Rica,18.616,18.936,0.321,1633.3,10208.3,18.843,112.1,5.585,6976.8,104,2.144,6976.8
CR131,Costa Rica,23.183,23.477,0.294,1837.5,14904.2,23.295,103.1,6.236,4048.2,91.8,3.469,4048.2
CR132,Costa Rica,23.664,24.144,0.481,1225,10820.8,24.044,112.5,5.275,1550.4,98.8,1.664,1550.4
CR133,Costa Rica,20.384,20.758,0.374,2245.8,10616.7,20.509,107,5.072,3445.3,94.8,1.415,3445.3
CR134,Costa Rica,13.6,14.107,0.507,1633.3,11229.2,13.816,104.2,5.883,6460,85.2,4.061,6460
CR135,Costa Rica,14.695,15.283,0.588,1633.3,12250,15.139,103.4,6.165,9819.1,90.8,2.489,9819.1
CR136,Costa Rica,17.553,18.114,0.561,1837.5,12862.5,17.711,106.4,5.222,3531.4,92.5,1.989,3531.4
CR137,Costa Rica,13.573,14.161,0.588,2056.5,13024.4,13.816,104.1,6.115,6460,85.2,4.001,6460
CR138,Costa Rica,14.615,15.256,0.641,2856.2,13024.4,15.139,102.2,5.986,9819.1,90.4,2.203,9819.1
CR139,Costa Rica,23.215,23.669,0.454,2627.7,14052.6,23.295,103.4,6.105,4048.2,90.7,2.709,4048.2
CR140,Costa Rica,22.227,22.868,0.641,2170.7,15080.8,22.558,103.8,6.023,9991.4,88.6,3.146,9991.4
CR141,Costa Rica,5.529,5.956,0.427,3998.7,12681.6,5.666,98.9,5.882,9043.9,87.1,3.722,9043.9
CR142,Costa Rica,0.926,1.852,0.926,1311.1,13825.9,1.138,122.7,6.052,1550.4,109.4,1.495,1550.4
CR143,Costa Rica,4.558,5.555,0.997,1311.1,7747.3,4.708,118,5.383,1636.5,105.7,2.159,1636.5
CR144,Costa Rica,6.765,7.976,1.211,834.3,15017.8,7.146,122.5,5.948,1636.5,108.6,1.542,1636.5
CR145,Costa Rica,9.187,10.041,0.855,1311.1,5244.3,9.491,119.4,4.052,1636.5,108.3,1.58,1636.5
CR146,Costa Rica,31.904,32.901,0.997,834.3,10965.4,32.131,121.6,4.916,1636.5,108.6,1.559,1636.5
CR147,Costa Rica,15.311,16.949,1.638,1430.3,7389.7,15.952,120.4,5.317,1636.5,108.7,1.665,1636.5
CR148,Costa Rica,22.219,23.287,1.068,953.5,8104.9,22.558,120.7,4.722,1636.5,108.4,1.639,1636.5
CR149,Costa Rica,40.604,42.1,1.495,1430.3,7508.9,40.943,121.2,5.269,1636.5,108.5,1.491,1636.5
CR150,Costa Rica,59.405,61.114,1.709,953.5,7866.5,59.826,118.2,5.164,1722.7,107.4,1.434,1722.7
CR151,Costa Rica,62.538,64.034,1.495,1549.5,10011.9,62.636,120.8,5.314,1636.5,108.7,1.193,1636.5
CR152,Costa Rica,65.458,67.523,2.065,1549.5,10727,65.933,120.3,5.717,1636.5,108.6,1.552,1636.5
CR153,Costa Rica,68.734,70.016,1.282,1311.1,10369.5,69.271,120.3,5.309,1636.5,107.9,1.689,1636.5
CR154,Costa Rica,0.356,2.065,1.709,1311.1,7151.4,1.295,123.1,5.219,3273,109.9,1.636,3273
CR155,Costa Rica,4.202,5.555,1.353,834.3,7628.1,4.714,122.2,5.314,3273,110.5,1.543,3273
CR156,Costa Rica,6.694,8.19,1.495,1311.1,7866.5,7.384,123,5.411,3100.8,110.3,1.572,3100.8
CR157,Costa Rica,15.026,16.878,1.852,953.5,7389.7,16.202,121.7,5.059,3273,109.9,1.722,3273
CR158,Costa Rica,18.658,20.011,1.353,1191.9,7628.1,18.907,120.9,4.897,3531.4,108.3,1.627,3531.4
CR159,Costa Rica,31.904,33.257,1.353,1072.7,9296.8,32.212,121.8,4.68,3014.6,109.8,1.479,3014.6
CR160,Costa Rica,40.663,41.803,1.139,1311.1,8343.2,41.186,122.1,4.688,3273,110,1.579,3273
CR161,Costa Rica,62.113,64.463,2.35,834.3,8224.1,62.88,121.7,4.955,3273,108.6,1.503,3273
CR162,Costa Rica,0,1.869,1.869,1263.3,9187.5,0.551,113.1,5.827,1636.5,102.8,1.47,1636.5
CR163,Costa Rica,3.27,5.256,1.986,1033.6,9417.2,3.593,114.3,4.82,1636.5,99.6,1.281,1636.5
CR164,Costa Rica,6.774,8.876,2.102,1148.4,9991.4,7.018,110.1,4.451,1722.7,97.5,1.58,1722.7
CR165,Costa Rica,9.46,10.979,1.518,459.4,9187.5,10.13,110.4,4.05,1722.7,95.6,1.547,1722.7
CR166,Costa Rica,12.614,14.599,1.986,689.1,10565.6,13.05,117.4,4.54,1722.7,100.8,1.55,1722.7
CR167,Costa Rica,17.052,18.687,1.635,459.4,9532,18.332,117.9,4.29,1722.7,104.5,1.511,1722.7
CR168,Costa Rica,20.439,22.191,1.752,1378.1,8383.6,20.921,116.1,4.384,1722.7,101.6,1.363,1722.7
CR169,Costa Rica,23.592,24.994,1.402,574.2,8957.8,24.602,117.7,4.339,1722.7,103.3,1.52,1722.7
CR170,Costa Rica,26.746,28.498,1.752,459.4,8957.8,27.98,115.2,4.405,1722.7,101,1.444,1722.7
CR171,Costa Rica,31.067,32.702,1.635,1033.6,7924.2,31.597,118.5,4.308,1722.7,107.1,1.429,1722.7
CR172,Costa Rica,34.337,35.856,1.518,803.9,8383.6,35.132,116.3,4.691,1722.7,102,1.733,1722.7
CR173,Costa Rica,39.009,40.528,1.518,1378.1,8039.1,39.288,119.8,4.492,1722.7,106,1.548,1722.7
CR174,Costa Rica,42.63,43.915,1.285,803.9,7694.5,43.236,112.4,4.641,1722.7,100.1,1.55,1722.7
CR175,Costa Rica,45.667,48.586,2.92,1378.1,6890.6,47.119,92.9,5.267,1550.4,84,1.719,1550.4
CR176,Costa Rica,50.338,51.973,1.635,1263.3,7120.3,50.776,88,5.227,1378.1,71.2,1.733,1378.1
CR177,Costa Rica,59.915,61.667,1.752,918.8,8843,61.225,114.4,4.187,1636.5,99.9,1.588,1636.5
CR178,Costa Rica,64.704,65.405,0.701,689.1,10910.2,64.842,96,4.885,689.1,83.5,1.678,689.1
CR179,Costa Rica,86.895,88.764,1.869,574.2,15503.9,88.259,114.7,5.366,947.5,102,1.59,947.5
CR180,Costa Rica,90.749,92.968,2.219,1033.6,10106.2,91.289,115.7,4.908,1636.5,101.7,1.431,1636.5
CR181,Costa Rica,104.998,106.516,1.518,1148.4,11369.5,105.848,112.7,5.065,1550.4,102.7,1.62,1550.4
CR182,Costa Rica,0.699,4.895,4.196,904.6,15265.4,2.572,123.3,4.854,2153.3,110.8,1.911,2153.3
CR183,Costa Rica,7.517,9.965,2.448,1356.9,11986.2,7.988,117.9,4.486,1722.7,102.5,1.553,1722.7
CR184,Costa Rica,13.287,17.308,4.021,565.4,11420.8,16.649,122.9,4.597,1722.7,109.6,1.769,1722.7
CR185,Costa Rica,20.629,24.476,3.846,339.2,11533.8,20.91,123.6,4.559,2067.2,107.9,1.659,2067.2
CR186,Costa Rica,30.944,33.217,2.273,678.5,10629.2,31.858,118.9,4.733,1722.7,105.2,1.815,1722.7
CR187,Costa Rica,34.615,36.713,2.098,0,13116.9,35.021,121.7,5.086,1722.7,107.7,1.741,1722.7
CR188,Costa Rica,40.385,43.357,2.972,226.2,13003.8,41.628,119.8,4.649,1722.7,106.4,1.878,1722.7
CR189,Costa Rica,46.329,49.475,3.147,1017.7,12777.7,47.595,121.4,3.524,2153.3,108.8,2.165,2153.3
CR190,Costa Rica,50.35,55.594,5.245,791.5,12664.6,50.817,124.4,4.457,2153.3,108,1.563,2153.3
CR191,Costa Rica,57.343,62.587,5.245,904.6,12664.6,60.755,120.9,4.663,1722.7,106.2,1.613,1722.7
CR192,Costa Rica,64.51,69.406,4.895,226.2,12777.7,67.599,121.7,4.603,1722.7,105.5,1.55,1722.7
CR193,Costa Rica,72.902,76.923,4.021,339.2,13795.4,75.198,119.6,4.684,1722.7,106.4,1.887,1722.7
CR194,Costa Rica,79.371,81.818,2.448,565.4,14360.8,80.271,120.1,4.86,1722.7,107.5,1.654,1722.7
CR195,Costa Rica,84.266,87.762,3.497,565.4,14021.5,84.747,119.8,4.679,1722.7,107,2.092,1722.7
CR196,Costa Rica,91.259,93.357,2.098,0,13230,91.939,119.6,4.894,2067.2,106,1.598,2067.2
CR197,Costa Rica,96.678,100.175,3.497,565.4,13456.2,98.725,122.1,4.036,1722.7,107.7,1.48,1722.7
CR198,Costa Rica,104.196,109.266,5.07,339.2,13003.8,104.943,124.3,4.757,1636.5,108.2,1.668,1636.5
CR199,Costa Rica,112.238,115.734,3.497,226.2,12551.5,113.128,121.4,4.513,1722.7,108,1.864,1722.7
CR200,Costa Rica,119.93,122.028,2.098,0,13343.1,120.494,119,4.736,1464.3,106.9,1.649,1464.3
CR201,Costa Rica,127.098,133.566,6.469,565.4,10516.2,131.628,118.7,4.159,1550.4,100.9,1.791,1550.4
CR202,Costa Rica,0.343,2.261,1.918,1072.7,6793.8,0.9,113.8,5.442,2670.1,99.7,1.805,2670.1
CR203,Costa Rica,3.699,5.343,1.644,1191.9,6913,3.936,112.1,5.263,3186.9,96.4,1.974,3186.9
CR204,Costa Rica,6.919,8.529,1.61,834.3,6674.6,7.326,112.8,5.307,2670.1,99.4,1.793,2670.1
CR205,Costa Rica,10.447,11.269,0.822,953.5,6436.2,10.612,110.5,5.234,2670.1,96.5,2.074,2670.1
CR206,Costa Rica,11.543,12.091,0.548,953.5,15971.4,11.639,100.5,6.065,1292,86.7,2.865,1292
CR207,Costa Rica,13.701,14.454,0.754,0,15494.6,13.99,109,6.138,1464.3,94.9,2.645,1464.3
CR208,Costa Rica,16.407,16.886,0.48,0,14898.6,16.614,96.1,6.343,3876,77.5,3.923,3876
CR209,Costa Rica,18.804,19.352,0.548,715.1,14898.6,18.959,97,5.785,3789.8,77.8,3.513,3789.8
CR210,Costa Rica,19.626,21.099,1.473,715.1,5125.1,19.667,105.2,5.232,1464.3,86.1,2.7,1464.3
CR211,Costa Rica,22.572,24.388,1.815,476.8,6078.6,23.255,107.6,5.382,1378.1,91.5,2.505,1378.1
CR212,Costa Rica,28.659,30.885,2.226,476.8,6078.6,29.518,109.3,5.399,1550.4,91.9,1.862,1550.4
CR213,Costa Rica,10.378,11.885,1.507,953.5,14779.5,10.612,111.3,6.25,2670.1,96.9,2.071,2670.1
CR214,Costa Rica,13.598,14.317,0.719,238.4,15017.8,13.99,109.1,6.092,1464.3,95.3,2.565,1464.3
CR215,Costa Rica,16.236,16.818,0.582,834.3,15137,16.614,96.1,6.229,3876,77.5,3.599,3876
CR216,Costa Rica,18.907,21.065,2.158,715.1,6197.8,19.464,108.3,5.422,1464.3,91.1,2.555,1464.3
CR217,Costa Rica,22.915,24.285,1.37,715.1,7270.5,23.255,107.4,5.289,1378.1,92.1,2.433,1378.1
CR218,Costa Rica,25.518,26.717,1.199,238.4,7270.5,25.675,109.2,5.325,1378.1,93.6,2.256,1378.1
CR219,Costa Rica,28.618,30.57,1.952,357.6,7866.5,29.518,109.4,5.513,1550.4,92.3,1.809,1550.4
CR220,Costa Rica,31.186,33.79,2.603,476.8,7032.2,32.299,110.9,5.575,1378.1,95,1.609,1378.1
CR221,Costa Rica,31.837,34.064,2.226,595.9,7032.2,32.299,110.3,5.346,1378.1,94.5,1.681,1378.1
CR222,Costa Rica,2.491,4.643,2.152,1625,7500,3.339,90.9,5.403,1687.5,77.2,0.929,1687.5
CR223,Costa Rica,8.267,9.739,1.472,1250,6875,8.277,94.1,5.344,1687.5,83.2,1.589,1687.5
CR224,Costa Rica,11.551,13.024,1.472,1250,7125,11.845,93,5.398,1593.8,79.6,1.614,1593.8
CR225,Costa Rica,17.554,19.026,1.472,750,6500,17.76,95,5.355,1781.2,80.7,1.769,1781.2
CR226,Costa Rica,26.047,27.18,1.132,875,6500,26.299,89,5.248,1781.2,74.7,1.744,1781.2
CR227,Costa Rica,37.599,39.411,1.812,1125,7125,37.925,93.7,5.408,1687.5,79.5,1.558,1687.5
CR228,Costa Rica,43.601,46.092,2.491,1000,6750,44.139,96,5.451,1875,78,1.694,1875
CR229,Costa Rica,60.248,62.06,1.812,750,6375,60.395,91.4,5.25,1687.5,76.3,1.85,1687.5
CR230,Costa Rica,7.814,9.853,2.038,500,6500,8.277,95.4,5.201,1687.5,82.9,1.687,1687.5
CR231,Costa Rica,17.101,18.799,1.699,875,5875,17.611,96,5.244,3656.2,81.8,1.625,3656.2
CR232,Costa Rica,24.801,27.293,2.491,375,6875,26.048,92.1,5.465,1781.2,75.6,1.633,1781.2
CR233,Costa Rica,43.148,45.186,2.038,125,14125,44.261,98.4,6.256,7593.8,81.1,1.979,7593.8
CR234,Costa Rica,68.742,70.214,1.472,500,9250,69.029,93.4,5.78,1687.5,79.9,1.891,1687.5
CR235,Costa Rica,84.257,86.862,2.605,875,8750,84.805,92.9,5.849,1687.5,82,1.627,1687.5
CR236,Costa Rica,95.129,97.507,2.378,1000,8625,96.091,96.6,5.819,1687.5,83,1.686,1687.5
CR237,Costa Rica,110.871,113.249,2.378,1000,10125,111.179,96.4,5.981,1781.2,82,1.465,1781.2
CR238,Costa Rica,94.79,97.395,2.605,0,8875,96.091,97.8,4.425,1687.5,82.4,1.613,1687.5
CR239,Costa Rica,53.14,55.745,2.605,1125,9625,53.733,96.9,5.667,1687.5,84.8,1.63,1687.5
CR240,Costa Rica,67.636,69.901,2.265,1500,8500,69.029,90.9,5.425,1687.5,78.1,1.947,1687.5
CR241,Costa Rica,61.747,64.918,3.171,875,7500,63.035,93.7,5.505,1781.2,80.2,3.593,1781.2
CR242,Costa Rica,1.371,2.554,1.182,757.1,14573.8,1.649,122.3,5.672,3273,109.7,2.018,3273
CR243,Costa Rica,3.83,4.823,0.993,1230.3,12870.4,4.168,123.2,5.997,3273,109.7,1.514,3273
CR244,Costa Rica,6.951,7.755,0.804,1135.6,13722.1,7.14,123.1,5.409,1722.7,111.2,1.889,1722.7
CR245,Costa Rica,11.87,13.146,1.277,1135.6,15141.6,12.219,125.5,5.632,3359.2,110.8,1.765,3359.2
CR246,Costa Rica,16.646,17.733,1.088,946.4,13343.6,16.753,124.8,5.674,3445.3,109.7,1.928,3445.3
CR247,Costa Rica,21.327,22.462,1.135,946.4,13627.5,21.467,124.9,5.79,3100.8,110.5,1.832,3100.8
CR248,Costa Rica,26.151,27.475,1.324,1324.9,14668.5,26.291,124.1,5.829,3186.9,109.3,1.716,3186.9
CR249,Costa Rica,40.392,41.243,0.851,771,16190.6,40.739,120.7,5.617,3359.2,108.5,1.675,3359.2
CR250,Costa Rica,28.948,31.123,2.175,6167.8,12027.3,30.401,98.8,5.016,7149,79.1,2.037,7149
CR251,Costa Rica,14.376,15.132,0.757,616.8,12181.5,14.814,105,5.983,7149,84.3,3.748,7149
CR252,Costa Rica,19.767,20.429,0.662,616.8,11410.5,20.149,104.8,6.387,7235.2,83.8,3.574,7235.2
CR253,Costa Rica,24.354,25.347,0.993,1233.6,11718.9,25.066,106,5.835,1894.9,84.3,3.782,1894.9
CR254,Costa Rica,0.974,3.104,2.13,568.3,9661.1,1.695,117.3,4.603,1550.4,104.2,1.441,1550.4
CR255,Costa Rica,7.608,9.434,1.826,795.6,7501.5,8.069,120.4,4.473,1636.5,107.2,1.471,1636.5
CR256,Costa Rica,4.504,6.451,1.948,1022.9,6819.6,4.766,118.6,4.076,1550.4,103.2,1.484,1550.4
CR257,Costa Rica,10.773,12.233,1.461,795.6,6705.9,10.774,117.8,4.313,1550.4,104.7,1.559,1550.4
CR258,Costa Rica,15.824,17.894,2.069,1022.9,10570.4,17.247,118.4,4.499,1550.4,104.9,1.426,1550.4
CR259,Costa Rica,19.476,20.876,1.4,795.6,11252.3,19.946,119.1,4.248,1550.4,105.6,1.468,1550.4
CR260,Costa Rica,22.884,24.893,2.008,1022.9,5455.7,23.348,117.9,4.529,1550.4,104.8,1.434,1550.4
CR261,Costa Rica,26.354,28.24,1.887,682,6933.2,26.546,119.2,4.087,1550.4,106.4,1.428,1550.4
CR262,Costa Rica,30.249,32.744,2.495,682,5910.3,30.377,115.6,4.42,1636.5,100.2,1.58,1636.5
CR263,Costa Rica,34.083,35.787,1.704,1022.9,10002.1,34.133,116.4,5.055,1550.4,104.6,1.693,1550.4
CR264,Costa Rica,37.005,38.648,1.643,1250.3,10570.4,37.204,118.9,4.58,1550.4,105.9,1.596,1550.4
CR265,Costa Rica,43.03,44.369,1.339,568.3,10684,43.822,113.1,5.797,1550.4,100.5,1.574,1550.4
CR266,Costa Rica,47.534,48.873,1.339,909.3,11252.3,47.978,118,4.167,1550.4,104.9,1.501,1550.4
CR267,Costa Rica,50.638,51.612,0.974,795.6,10456.7,50.904,106.3,4.685,1550.4,93.8,1.49,1550.4
CR268,Costa Rica,1.887,3.104,1.217,1591.2,7615.2,1.898,109.1,3.96,1722.7,95.5,0.762,1722.7
CR269,Costa Rica,4.382,6.451,2.069,568.3,5342,5.004,115.3,4.08,1636.5,100.2,1.81,1636.5
CR270,Costa Rica,10.59,12.659,2.069,909.3,5455.7,10.757,115.1,5.051,1550.4,99.2,1.356,1550.4
CR271,Costa Rica,19.05,21.241,2.191,1136.6,6137.6,19.946,115.9,5.312,1550.4,100,1.706,1550.4
CR272,Costa Rica,22.824,24.71,1.887,1022.9,5569.3,23.348,114.7,4.275,1550.4,99.5,1.494,1550.4
CR273,Costa Rica,26.475,27.753,1.278,1363.9,10229.4,26.546,114.1,4.595,1550.4,99.8,2.016,1550.4
CR274,Costa Rica,1.448,2.275,0.827,0,8983.3,1.927,115.5,4.906,1636.5,101.7,1.591,1636.5
CR275,Costa Rica,4.481,5.55,1.069,272.2,8711.1,4.986,117.7,4.993,1550.4,105,1.693,1550.4
CR276,Costa Rica,1.344,2.241,0.896,0,7622.2,2.026,113.5,5.418,3014.6,98.7,1.696,3014.6
CR277,Costa Rica,4.723,5.481,0.758,1633.3,7894.4,4.923,113.2,5.025,1722.7,99.2,1.898,1722.7
CR278,Costa Rica,7.756,8.377,0.62,1361.1,6805.6,7.935,107.3,5.264,1550.4,96,1.473,1550.4
CR279,Costa Rica,8.687,9.066,0.379,1088.9,6533.3,8.742,109.1,4.279,1636.5,98.5,1.682,1636.5
CR280,Costa Rica,7.894,8.239,0.345,1633.3,6261.1,7.895,105.2,3.891,1636.5,96,1.433,1636.5
CR281,Costa Rica,6.688,6.998,0.31,272.2,6805.6,6.774,103.1,4.145,1550.4,92.5,1.449,1550.4
CR282,Costa Rica,14.754,15.133,0.379,1905.6,6805.6,14.861,101.9,4.291,3014.6,91.4,1.54,3014.6
CR283,Costa Rica,22.682,23.268,0.586,0,7077.8,22.935,106.9,4.712,1550.4,94.8,2.223,1550.4
CR284,Costa Rica,26.474,27.129,0.655,0,7077.8,26.651,106.3,4.718,1636.5,95.7,1.926,1636.5
CR285,Costa Rica,34.472,35.196,0.724,816.7,7350,34.696,108,4.388,1636.5,96.2,2.376,1636.5
CR286,Costa Rica,19.226,19.915,0.689,1361.1,5988.9,19.319,100.5,4.878,1722.7,89.8,2.098,1722.7
CR287,Costa Rica,22.776,23.328,0.552,1088.9,5988.9,22.889,106.7,4.431,1636.5,95.3,1.788,1636.5
CR288,Costa Rica,26.568,27.223,0.655,272.2,6261.1,26.651,106.6,4.64,1636.5,94.3,1.894,1636.5
CR289,Costa Rica,29.843,30.808,0.965,1633.3,5716.7,30.25,105.7,4.236,3014.6,94.5,1.596,3014.6
CR290,Costa Rica,34.353,35.318,0.965,1361.1,6805.6,34.72,108.1,4.599,1550.4,96.1,2.184,1550.4
CR291,Costa Rica,0.841,1.635,0.794,1025.6,6666.3,1.039,113.8,5.357,1636.5,100.5,1.749,1636.5
CR292,Costa Rica,3.129,3.736,0.607,1282,6153.5,3.222,112.3,4.66,1464.3,100.6,2.102,1464.3
CR293,Costa Rica,5.137,7.005,1.868,1282,6922.7,5.236,114.2,5.16,1636.5,97.7,1.736,1636.5
CR294,Costa Rica,10.555,11.816,1.261,512.8,7435.5,10.675,115.1,4.925,1636.5,101.9,1.503,1636.5
CR295,Costa Rica,12.937,13.45,0.514,1025.6,5127.9,13.015,113.3,4.638,1550.4,101.4,1.933,1550.4
CR296,Costa Rica,16.019,16.86,0.841,256.4,6922.7,16.277,111.8,5.521,1636.5,98.5,1.895,1636.5
CR297,Costa Rica,17.327,18.214,0.887,1538.4,7435.5,17.363,110.8,5.032,1550.4,95.8,1.464,1550.4
CR298,Costa Rica,24.472,25.547,1.074,512.8,5640.7,24.631,113.8,5.041,1636.5,98,1.679,1636.5
CR299,Costa Rica,22.137,23.725,1.588,512.8,6922.7,22.309,115.2,5.123,1636.5,100.8,1.83,1636.5
CR300,Costa Rica,19.615,20.83,1.214,1025.6,6153.5,19.679,114.6,5.007,1636.5,100.1,1.619,1636.5
CR301,Costa Rica,26.527,27.695,1.168,1025.6,5640.7,26.871,115.1,5.124,1550.4,101.6,2,1550.4
CR302,Costa Rica,28.909,29.61,0.701,1794.8,6922.7,29.048,108.7,4.861,3359.2,96.3,1.591,3359.2
CR303,Costa Rica,31.104,31.898,0.794,1282,8204.7,31.451,113.6,5.127,1550.4,102.9,1.901,1550.4
CR304,Costa Rica,33.066,33.86,0.794,0,8973.8,33.135,114.9,5.354,1550.4,104.9,1.63,1550.4
CR305,Costa Rica,34.514,35.448,0.934,769.2,7691.9,34.702,109.5,5.321,2928.5,96.7,1.816,2928.5
CR306,Costa Rica,36.942,38.11,1.168,1538.4,9486.6,36.989,113.9,4.932,1550.4,100.5,0.709,1550.4
CR307,Costa Rica,39.277,40.959,1.681,1282,8973.8,39.282,115.9,5.038,1550.4,101.7,1.968,1550.4
CR308,Costa Rica,41.379,43.06,1.681,1282,6153.5,41.436,116.6,4.9,1550.4,102.9,1.964,1550.4
CR309,Costa Rica,43.714,45.629,1.915,2564,7179.1,45.267,112.7,4.746,3445.3,96.2,1.646,3445.3
CR310,Costa Rica,46.703,48.291,1.588,2051.2,6922.7,47.537,113.9,4.785,2928.5,96.7,1.42,2928.5
CR311,Costa Rica,0.371,1.003,0.632,995.8,2987.4,0.598,95.4,3.988,1636.5,86.5,1.4,1636.5
CR312,Costa Rica,1.869,2.502,0.632,711.3,3983.2,2.165,102.9,4.836,1550.4,90.9,1.561,1550.4
CR313,Costa Rica,3.216,3.656,0.44,569,4125.5,3.408,95.9,4.838,1550.4,83.6,2.267,1550.4
CR314,Costa Rica,4.701,5.223,0.522,853.5,4410,4.847,101.2,4.749,1550.4,89.9,1.674,1550.4
CR315,Costa Rica,6.68,7.079,0.399,569,4410,6.809,97,5.014,1550.4,85.2,2.136,1550.4
CR316,Costa Rica,8.494,9.058,0.564,711.3,4267.7,8.673,99.3,4.896,1550.4,88.3,2.008,1550.4
CR317,Costa Rica,9.346,9.786,0.44,853.5,4410,9.433,94.6,4.884,1636.5,83.6,2.153,1636.5
CR318,Costa Rica,10.13,10.556,0.426,1138.1,4979,10.263,98.4,4.882,1550.4,85.9,2.044,1550.4
CR319,Costa Rica,12.741,13.25,0.509,995.8,4267.7,12.858,102.1,4.795,1550.4,88,1.816,1550.4
CR320,Costa Rica,13.942,14.355,0.412,569,3983.2,14.089,96.5,4.797,1636.5,88,1.58,1636.5
CR321,Costa Rica,1.966,2.515,0.55,711.3,4125.5,2.13,101.7,4.676,1550.4,88.4,1.604,1550.4
CR322,Costa Rica,3.23,3.67,0.44,995.8,3983.2,3.361,95.2,4.489,1636.5,83.3,2.173,1636.5
CR323,Costa Rica,4.577,5.319,0.742,995.8,4410,4.847,100.6,4.742,1550.4,87.3,2.048,1550.4
CR324,Costa Rica,6.68,7.257,0.577,711.3,3698.7,6.803,95.7,4.659,1636.5,82.7,1.795,1636.5
CR325,Costa Rica,8.549,9.003,0.454,995.8,4125.5,8.673,97.9,4.542,1550.4,86.3,1.969,1550.4
CR326,Costa Rica,9.305,9.786,0.481,995.8,3556.5,9.427,93.2,4.42,1636.5,82.2,2.087,1636.5
CR327,Costa Rica,10.185,10.556,0.371,711.3,3556.5,10.263,97,4.534,1550.4,84.5,1.985,1550.4
CR328,Costa Rica,10.927,11.326,0.399,426.8,4267.7,11.029,95.7,4.975,1636.5,84,2.817,1636.5
CR329,Costa Rica,12.604,13.195,0.591,995.8,3414.2,12.852,101.3,4.197,1636.5,87.3,1.789,1636.5
CR330,Costa Rica,13.857,14.49,0.632,711.3,3271.9,14.089,96.1,4.413,1636.5,88.2,1.596,1636.5
CR331,Costa Rica,0.249,1.402,1.153,761.9,6730.2,0.757,114.5,5.06,1593.8,100.6,1.487,1593.8
CR332,Costa Rica,1.776,2.243,0.467,1015.9,6730.2,1.952,99.7,5.387,3843.8,81.8,3.672,3843.8
CR333,Costa Rica,2.679,4.237,1.558,761.9,4825.4,3.168,113.9,4.745,1593.8,102.1,1.415,1593.8
CR334,Costa Rica,5.452,6.636,1.184,634.9,7111.1,5.717,115.2,5.465,1593.8,102.3,1.379,1593.8
CR335,Costa Rica,8.007,10.001,1.994,1396.8,7238.1,8.848,115.2,5.464,1593.8,101.1,1.363,1593.8
CR336,Costa Rica,11.59,13.023,1.433,761.9,7619,11.712,112.3,5.427,1593.8,99.8,1.494,1593.8
CR337,Costa Rica,13.926,14.954,1.028,634.9,7365.1,14.155,113.1,5.526,1593.8,100,1.497,1593.8
CR338,Costa Rica,16.294,18.008,1.714,761.9,4190.5,16.667,114.6,4.49,1593.8,103.5,1.377,1593.8
CR339,Costa Rica,18.382,20.002,1.62,1650.8,6984.1,19.205,112,5.394,1875,98.9,1.017,1875
CR340,Costa Rica,21.435,22.307,0.872,1015.9,6857.1,21.573,114,5.114,1875,103.1,1.274,1875
CR341,Costa Rica,23.616,24.239,0.623,634.9,7873,24.128,114.7,5.659,1593.8,103.6,1.437,1593.8
CR342,Costa Rica,24.893,25.641,0.748,1269.8,7619,25.109,106.3,5.495,1500,94.2,1.816,1500
CR343,Costa Rica,26.077,26.856,0.779,1269.8,8254,26.725,114,5.354,1968.8,100.2,1.54,1968.8
CR344,Costa Rica,28.382,29.005,0.623,2285.7,8381,28.992,101.1,5.443,3562.5,83.5,2.96,3562.5
CR345,Costa Rica,30.98,32.039,1.059,1015.9,7238.1,31.755,112.5,5.467,1875,101.3,1.548,1875
CR346,Costa Rica,0.374,0.997,0.623,761.9,6603.2,0.757,112.9,5.018,1593.8,99.5,1.481,1593.8
CR347,Costa Rica,1.62,2.337,0.717,1269.8,7492.1,1.621,101.2,5.496,1500,86.8,2.465,1500
CR348,Costa Rica,4.736,5.795,1.059,1650.8,8634.9,5.573,111.9,5.632,1875,99.2,0.403,1875
CR349,Costa Rica,7.726,8.381,0.654,2539.7,6984.1,8.011,99.3,5.16,6000,80.8,3.11,6000
CR350,Costa Rica,9.378,10.375,0.997,634.9,7365.1,10.064,106.6,5.529,1593.8,90.9,2.112,1593.8
CR351,Costa Rica,11.434,12.182,0.748,1269.8,7111.1,11.52,112.5,4.812,1593.8,100.7,1.469,1593.8
CR352,Costa Rica,12.618,12.68,0.062,6222.2,7365.1,12.64,73.6,3.226,6656.2,62.9,2.48,6656.2
CR353,Costa Rica,0.084,0.394,0.31,348.2,5280.4,0.383,91.9,4.723,1550.4,82.1,1.834,1550.4
CR354,Costa Rica,0.776,1.122,0.346,464.2,13404.1,0.987,90.9,5.761,1550.4,79.5,2.336,1550.4
